1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
fs228vdiy4m1o6fu05wdzfs228vbb9qj,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,I know some,"No, because it doesn't matter",Negatively,"No, because it doesn't matter",Negatively,Yes,26-50%,1,0,I don't know,"No, I only became aware later",Some did,"Yes, they all did",Sometimes,Same level of comfort for each,I don't know,1,nan,"Yes, at all of my previous employers",1,j,0,nan,3,5,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,Yes,Sometimes,Sometimes,No,3,Maybe,nan,Maybe,nan,0,nan,nan,3,No,nan,No,nan,2,nan,nan,0,34,f,Belarus,nan,nan,nan,Belarus,nan,nan,11/30/21 13:05,11/30/21 13:07,5fca839351,2021,,,,,
y7f4gywuo4v2uegbvzy7f4gcxru5d1ru,0,More than 1000,0,0,Yes,No,Yes,Yes,Yes,Very easy,Physical health,Maybe,0,nan,Maybe,0,nan,1,They just said they had burnout,6,6,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,1,No,Often,Sometimes,Maybe,5,Maybe,nan,No,nan,0,nan,nan,5,Maybe/Not sure,nan,Maybe/Not sure,nan,3,nan,nan,0,25,Male,Germany,nan,nan,nan,Germany,nan,nan,11/28/21 10:15,11/28/21 10:22,5a06714514,2021,,,,,
ef3iqbnj7hpo5u0kaef3idyq5y8k7zbm,0,26-100,1,1,No,nan,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,No,0,nan,No,0,nan,1,My coworker felt stressed at times when he couldn't balance his personal financial stress and work pressure leading to frustration and losing interest to work.,8,5,nan,nan,nan,nan,nan,nan,nan,nan,1,1,"No, none did",N/A (none offered),None did,None did,Sometimes,Physical health,"No, none of my previous supervisors",0,nan,At some of my previous employers,0,nan,0,nan,4,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Sometimes,Sometimes,Yes,2,No,"IMO, The chances of losing recognition at the workplace is high if I reveal my mental health issues.",No,The chances of losing my job application is very high if I would reveal.,0,nan,nan,3,No,nan,No,nan,2,nan,nan,0,29,Male,India,nan,nan,nan,India,nan,nan,11/27/21 6:26,11/27/21 6:56,ca448a6bfc,2021,,,,,
mdpv82bgh5pnb8mdpv54vxvolffnkppq,0,26-100,0,0,No,No,No,No,No,Somewhat difficult,Physical health,No,0,nan,Yes,0,nan,0,nan,2,2,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Yes,8,No,nan,No,nan,0,nan,nan,2,"Yes, I experienced",nan,No,nan,2,nan,nan,0,40,F,Germany,nan,nan,nan,Germany,nan,nan,11/26/21 6:16,11/26/21 6:20,aa4930b8e0,2021,,,,,
vzzkpx371buokh0vzzkp5ae1rjtrqhhj,0,100-500,1,0,No,Yes,No,No,I don't know,Very easy,Same level of comfort for each,Yes,0,nan,Yes,1,ok,1,ok,8,3,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,No,10,Maybe,"if the disease does not affect the work, I think there is no need to mention it in the recruitment process",Maybe,"if the issue does not affect the work/work with others, I think there is no need to mention it in the recruitment process",0,nan,nan,5,No,nan,No,nan,2,no comment,nan,0,26,female,Macedonia,nan,nan,nan,Macedonia,nan,nan,11/25/21 12:45,11/25/21 12:56,72cf04e04b,2021,,,,,
9m7ot2qbsgxv24l9m7ot7kwwmo3oseb3,0,100-500,1,1,No,No,No,No,I don't know,Somewhat difficult,Physical health,No,0,nan,No,0,nan,0,nan,5,0,nan,nan,nan,nan,nan,nan,nan,nan,1,1,"No, none did",N/A (was not aware),None did,None did,No,Physical health,"No, none of my previous supervisors",0,nan,At some of my previous employers,1,We talked about how the job wasn't fulfilling. How my boss was treating me. They were sympathetic.,1,Stress. Feeling overwhelmed.,5,0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,Yes,Not applicable to me,Not applicable to me,Maybe,7,Maybe,Fear of not getting the job.,No,Fear of not getting the job.,0,nan,nan,3,Maybe/Not sure,nan,Maybe/Not sure,nan,1,Less deadlines. We are overworked.,nan,0,25,Male,Macedonia,nan,nan,nan,Macedonia,nan,nan,11/25/21 12:22,11/25/21 12:32,e0e2349466,2021,,,,,
24zdc5sj0l7lf517d24zdov5kw3h9zrw,0,26-100,1,1,Yes,nan,I don't know,I don't know,Yes,Very easy,Physical health,No,0,nan,Maybe,0,nan,1,nan,10,7,nan,nan,nan,nan,nan,nan,nan,nan,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,nan,At some of my previous employers,1,nan,1,nan,0,0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,No,6,No,nan,No,nan,0,nan,nan,5,No,nan,Maybe/Not sure,nan,3,nan,nan,0,24,Female,Macedonia,nan,nan,nan,Macedonia,nan,nan,11/25/21 10:28,11/25/21 10:37,8cb0e83610,2021,,,,,
um478kbd69fulphctu1um478k4j2ic4j,0,100-500,0,1,I don't know,No,No,Yes,Yes,Somewhat easy,Physical health,No,0,nan,Maybe,0,nan,1,nan,5,5,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Rarely,Maybe,10,Maybe,nan,Yes,nan,1,0,nan,5,Maybe/Not sure,nan,Maybe/Not sure,nan,5,nan,nan,1,25,f,Slovenia,nan,nan,nan,Slovenia,nan,nan,11/25/21 10:14,11/25/21 10:18,5cc1eb4f93,2021,,,,,
xai6vs6gjhtt3fyqxai6vs6z0itrklnu,0,26-100,1,1,No,No,No,No,No,Somewhat easy,Same level of comfort for each,Maybe,0,nan,Maybe,0,nan,0,nan,7,5,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,No,9,Yes,"Is important to me in the first place to discuss it and if the company does not care for it, it means it will not care for me.",Yes,Same,1,0,nan,2,"Yes, I observed",nan,No,nan,3,nan,nan,0,22,Male,Albania,nan,nan,nan,Albania,nan,nan,11/25/21 10:05,11/25/21 10:11,4076fc4f3b,2021,,,,,
edt5fxdw2olxd4xo8b0odyedt5fd969x,0,26-100,1,1,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,0,nan,No,0,nan,0,nan,5,5,nan,nan,nan,nan,nan,nan,nan,nan,1,0,"No, none did",N/A (was not aware),I don't know,None did,I don't know,Physical health,"No, none of my previous supervisors",0,nan,"No, at none of my previous employers",0,nan,0,nan,5,5,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,No,Sometimes,Often,No,2,Maybe,nan,No,nan,0,nan,nan,5,No,nan,No,nan,3,nan,nan,0,27,male,Macedonia,nan,nan,nan,Macedonia,nan,nan,11/25/21 9:57,11/25/21 10:04,ca6a47f858,2021,,,,,
rww717307eh1vib1p7jworww71neadhw,0,25-Jun,0,1,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,Physical health,Yes,1,nan,Yes,1,nan,1,nan,8,6,nan,nan,nan,nan,nan,nan,nan,nan,1,0,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Same level of comfort for each,I don't know,0,nan,"No, at none of my previous employers",0,nan,0,nan,7,6,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Maybe,8,Maybe,nan,Maybe,nan,0,nan,nan,5,Maybe/Not sure,nan,"Yes, I experienced",nan,3,nan,nan,0,25,female,Slovenia,nan,nan,nan,Slovenia,nan,nan,11/24/21 23:33,11/24/21 23:39,bb86c97dbc,2021,,,,,
ftee4ncpsmwidjoftee9815fk71jggo4,0,500-1000,1,1,Not eligible for coverage / NA,No,No,I don't know,I don't know,Difficult,Same level of comfort for each,No,0,nan,Maybe,1,.,1,.,8,3,nan,nan,nan,nan,nan,nan,nan,nan,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",1,.,At some of my previous employers,1,.,1,.,6,0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,Stress Response Syndromes,nan,nan,Addictive Disorder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,No,Sometimes,Often,Maybe,2,Maybe,"Because sometimes you have to be absent, so it is easier maybe if they know there is a problem",No,Because i think they wont understand and none wants to work with mentally disordered person,0,nan,nan,2,No,nan,No,nan,1,"It cant happen, because there is a lot of work, i am not sure someone will worry a lot and waste a lot of time with the employees",.,0,25,Female,Slovenia,nan,nan,nan,Slovenia,nan,nan,11/24/21 12:30,11/24/21 12:47,ca4c13d4f0,2021,,,,,
hyvhpylf3t4khti498hyvhpajd7ww3kw,0,5-Jan,1,1,No,No,Yes,No,Yes,Somewhat easy,Same level of comfort for each,Yes,0,nan,No,0,nan,0,nan,2,6,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,No,Rarely,Often,Maybe,4,Yes,nan,Yes,nan,0,nan,nan,10,Maybe/Not sure,nan,"Yes, I experienced",nan,3,"Team buildings, provide sport membership, visit seminars on mental health importance",nan,0,23,Male,Slovenia,nan,nan,nan,Slovenia,nan,nan,11/24/21 11:01,11/24/21 11:09,6e9eb64b63,2021,,,,,
enbvzwbmp7sfvz81enbv6f9bjr7j9io9,0,More than 1000,0,1,I don't know,No,No,No,I don't know,I don't know,Same level of comfort for each,Yes,1,nan,Yes,1,nan,1,nan,8,8,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,nan,8,Yes,nan,Yes,nan,0,nan,nan,7,No,nan,"Yes, I experienced",nan,2,nan,nan,1,27,Female,Slovenia,nan,nan,nan,Slovenia,nan,nan,11/24/21 10:21,11/24/21 10:40,155bf78caa,2021,,,,,
d08b1besge8mfbu8uamd08b1bezipp31,0,More than 1000,0,1,I don't know,No,No,Yes,Yes,Difficult,Mental health,Yes,0,nan,Maybe,0,nan,1,said he was bipolar,10,10,nan,nan,nan,nan,nan,nan,nan,nan,1,1,Some did,I was aware of some,None did,Some did,"Yes, always",Physical health,Some of my previous supervisors,1,i said I have been diagnosed with bipolar and i need a break,"Yes, at all of my previous employers",0,nan,1,na,10,10,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Sometimes,Often,No,2,Maybe,could be a ground for rejection...,No,could be a ground for rejection,0,nan,nan,3,No,nan,Maybe/Not sure,nan,3,more awareness programs...more on site meetings with counsellors,I am wondering how responses changed due to COVID,1,33,Male,United States of America,Texas,Asian,nan,United States of America,Texas,nan,11/23/21 4:08,11/23/21 4:18,fdfe1a9c0c,2021,,,,,
lpkbbgupnr967m96gw47lpkbbgu5fnvv,0,More than 1000,1,1,Yes,No,No,No,Yes,Somewhat difficult,Physical health,No,0,nan,Maybe,0,nan,0,nan,6,5,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,No,Rarely,Sometimes,No,5,No,nan,No,nan,0,nan,nan,5,No,nan,No,nan,4,nan,nan,0,22,Male,India,nan,nan,nan,India,nan,nan,11/22/21 4:39,11/22/21 4:47,e747f790b5,2021,,,,,
