uniquecolumnheading,self-employed,num-employees,tech-employer,tech-role,has-mental-health-benefits,know-mental-health-options,discussed-mental-health,has-mental-health-resources,anonymity-protected,mental-health-leave-ease,comfort-discussing-health,discuss-mental-health-supervisor,discussed-mental-health-employer,mental-health-talk-employer,discuss-mental-health-coworkers,discussed-mental-health-coworkers,mental-health-talk-coworkers,coworker-mental-health-discussion,coworker-mental-health-talk,importance-physical-health,importance-mental-health,mental-health-coverage,know-mental-health-resources,reveal-mental-health-clients,effect-reveal-mental-health,reveal-mental-health-coworkers,impact-reveal-mental-health,productivity-mental-health,percentage-affected-mental-health,previous-employers,previous-tech-employer,previous-mental-health-benefits,aware-previous-mental-health-options,discussed-mental-health-previous,previous-mental-health-resources,previous-anonymity-protected,previous-comfort-discussing-health,previous-discuss-mental-health-supervisor,previous-discussed-mental-health,previous-mental-health-talk-employer,previous-discuss-mental-health-coworkers,previous-discussed-mental-health-coworkers,previous-mental-health-talk-coworkers,previous-coworker-mental-health-discussion,previous-coworker-mental-health-talk,previous-importance-physical-health,previous-importance-mental-health,current-mental-health-disorder,diagnosed-mental-health,anxiety-disorder,mood-disorder,psychotic-disorder,eating-disorder,adhd,personality-disorder,ocd,ptsd1,stress-response,dissociative-disorder,substance-use,addictive-disorder,other,anxiety-disorder1,mood-disorder1,psychotic-disorder1,eating-disorder1,adhd1,personality-disorder1,ocd1,post-traumatic-stress-disorder_1,stress-response1,dissociative-disorder1,substance-use1,addictive-disorder1,other1,anxiety-disorder2,mood-disorder2,psychotic-disorder2,eating-disorder2,adhd2,personality-disorder2,ocd2,ptsd2,stress-response2,dissociative-disorder2,substance-use2,addictive-disorder2,other2,past-mental-health-disorder,sought-treatment,family-history-mental-illness,mental-health-interference-treated,mental-health-interference-untreated,observations-mental-health-discussion,share-mental-illness,physical-health-interview,physical-health-reason,mental-health-interview,mental-health-reason,open-mental-health,mental-health-career,mental-health-career-effect,team-reaction,unsupportive-response,unsupportive-response-details,supportive-response,supportive-response-details,industry-support,improve-industry-support,additional-comments,interview-mental-health,age,gender,country-live,us-state-live,race,other3,country-work,us-state-work,year,covid-19-diagnosis,start-date,submit-date,network-id
7hox9kpkqo7b1g6954of7hox9kk69nkn,0,100-500,0.0,1.0,Yes,Yes,Yes,No,I don't know,Somewhat easy,Same level of comfort for each,No,0.0,nan,Yes,1.0,Talk about bouts of anxiety at times; very supportive coworkers,1.0,Coworker had anxiety and needed someone to listen,8.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,"No, I only became aware later",Some did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,nan,At some of my previous employers,0.0,nan,0.0,nan,9.0,8.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,8,Yes,The jobs I seek are not physical in nature,No,I do not want the interviewer to question my ability to do the job.,0,nan,nan,7,No,nan,"Yes, I observed",nan,4,Make resources more visible and known to employees. Point out the mental health benefits covered by health insurance plans (if they are covered),nan,0,26,Male,United States of America,Illinois,Asian,nan,United States of America,Illinois,2020,,,,
7gzur2y7p78dm605oije07gzux7m7gnm,0,100-500,0.0,1.0,No,nan,No,No,Yes,Very easy,Physical health,Yes,1.0,"I've had mental health disorders since 20 years. Some year ago, I suffered from a serious depressions again and finally left work for about a year.
My employee, namely COO, CEO and staff manager, were like ""we are glad you talk to us. We'll help you wherever possible."" And they did, they helped me and my family with financial issues, helped me finding a psychiatrist and even sent colleagues to drive me to a doctor when I wasn't allowed to drive the car by myself. 
After getting better, I had a warm welcome in my company. Now, one year later, they still occassionally ask like ""Are you fine?"", ""Please mind your health"", ...
It helped me so much to know my employee had that vast understanding.",Yes,1.0,"I frankly discussed my mental health issues with some of my colleagues. They were quite understanding and while most of them never suffered from mental health issues themself, most of them new others with mental health issues from their family or friends.",0.0,nan,7.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,nan,"Yes, at all of my previous employers",0.0,nan,0.0,nan,8.0,4.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Rarely,Often,No,9,No,"I think it doesn't belong in an interview (at least, that's wat law says in germany, employees are not allowed to talk about any health issue in an interview).",No,"I think it doesn't belong in an interview (at least, that's wat law says in germany, employees are not allowed to talk about any health issue in an interview).",0,nan,nan,7,"Yes, I observed","A colleague was fired during his probation period, because he was off for some days and openly spoke about his mental health issues.
I left that employee some months after...","Yes, I experienced",nan,4,nan,nan,0,34,male,Germany,nan,nan,nan,Germany,nan,2020,,,,
7gs3tbx1yqs9fxf7gs39jghx6bysboy2,0,26-100,1.0,1.0,Yes,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,nan,Yes,1.0,"Mostly discussions of burnout, checking in with each other.",1.0,I'm not comfortable answering this question,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,I was aware of some,Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,0.0,nan,At some of my previous employers,0.0,nan,0.0,nan,8.0,7.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,I don't know,Not applicable to me,Not applicable to me,nan,7,Yes,"Some physical health issues, if not accommodated, would interfere with work performance. I have an eye problem and a hearing problem. My last employer refused to accomodate them (even at my cost) resulting in a painfully overstimulated environment.",Yes,"My work environment greatly affects my performance. If it won't be a suitable environment, there's no point in continuing candidacy.",0,nan,nan,4,"Yes, I experienced",Cannot discuss due to pending litigation. I no longer work there.,"Yes, I observed",nan,4,"I think, on the whole, tech people are a little more ""odd ducks"" and it's kind of expected that we'll be a little outside the norm. I've seen some companies proud of the fact. MailChimp (not an employer I have ever worked for) advertises the quirky work force in its recruiting materials. I've seen CEOs giving tours of the office say things like ""this is Joe, one of our top engineers. He's a little awkward and can't hold a conversation - brilliant people like him are like that sometimes.""",nan,0,45,cisgender male,United States of America,Georgia,White,nan,United States of America,Georgia,2020,,,,
74petbicxlk1bdeg5574pet6pos60nhs,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,Physical health,Maybe,0.0,nan,Maybe,1.0,We spoke about stress and how we handle it during times when work becomes overwhelming.,1.0,The talked about their anxiety with me. It was a one-on-one conversation.,8.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,No,5,Yes,I would be afraid that it would make me seem weak.,No,Same as above. I would be afraid of being seen as weak and therefore lose the opportunity.,0,nan,nan,5,No,nan,"Yes, I observed",nan,4,"I think de-stigmatizing conversations about mental health would be a great step in the right direction. I know there are usually resources or places to get help, but opening up about mental health at work would be nice.",nan,0,21,Female,United States of America,Washington,Asian,nan,United States of America,Washington,2020,,,,
6ocqahjdyc7zm1k6zt6ocq772jfqfpxl,0,100-500,0.0,0.0,No,No,No,No,I don't know,Difficult,Physical health,No,0.0,nan,Maybe,0.0,nan,0.0,nan,8.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Maybe,1,Yes,"It is important as the profession - teaching, needs me to physically move around",No,I dont think people are yet open to the idea of mental health issue,0,nan,nan,1,No,nan,Maybe/Not sure,nan,2,Discuss and show their support openly. Let the team know that they will provide medical help too.,nan,0,44,Female,India,nan,nan,nan,India,nan,2020,,,,
6kgkpxaa2l4n06kgsj5rawrkixabvnkh,0,More than 1000,1.0,1.0,I don't know,No,I don't know,Yes,I don't know,Neither easy nor difficult,Physical health,No,0.0,nan,Maybe,0.0,nan,0.0,nan,10.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Attention Deficit Hyperactivity Disorder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,No,Rarely,Rarely,Maybe,8,Maybe,might become a liability,Maybe,might not take positively depending on the employer,0,nan,nan,3,Maybe/Not sure,nan,Maybe/Not sure,nan,4,provide a life coach,no,0,47,male,India,nan,nan,nan,India,nan,2020,,,,
6jid6sj1rsekioue9bf36jid67er1fof,0,More than 1000,1.0,1.0,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0.0,nan,Maybe,0.0,nan,0.0,nan,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,nan,At some of my previous employers,1.0,nan,0.0,nan,7.0,2.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,0,Yes,Rarely,Rarely,nan,7,Maybe,nan,No,nan,0,nan,nan,3,No,nan,"Yes, I experienced",nan,2,nan,nan,0,40,Male,Brazil,nan,nan,nan,Brazil,nan,2020,,,,
6aiy7mpssgzsffwzv6aid9tb437ddzin,0,100-500,0.0,0.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,10.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Sometimes,Often,Maybe,7,Maybe,I dont know,Maybe,They might judge me,0,nan,nan,4,No,nan,Maybe/Not sure,nan,4,Give the employee time if they need to seek for medical help,No,0,25,Female,Malaysia,nan,nan,nan,Malaysia,nan,2020,,,,
68w7v4lp6sgp41p68w7vho9yowkuxwnj,0,More than 1000,1.0,1.0,Yes,Yes,Yes,I don't know,I don't know,Difficult,Physical health,Maybe,1.0,My boss and I have vaguely discussed it. He asked me why my week wasn’t as productive and I said I’d been struggling with mental health due to covid etc. I don’t really know what the outcome was? It was weird. He did offer information about resources and all that but I already know about and use those.,No,1.0,"1. I told my coworker I was dealing with situational depression because I didn’t want him to think I’m lazy or not passionate about what we do. He was supportive, he’s really nice. He mentioned he understands and doesn’t think it should be taboo either and later we became friends. My other coworker who I told recently was really nice and understanding and great. But there are a lot of people in the office that I wouldn’t want to discuss it with.",1.0,"There are a couple people at our company that I’m actually friends with. They’re all women and/or gay which is kind of telling and not surprising. We have all discussed mental health briefly, some in depth. One of them has discussed their depression and medication and all that with me. Another has mentioned their mental health mostly in relation to being a transgender person. Those conversations all went well. The last person and I just talked recently and they only told me they have dealt with mental health, but also that they usually keep it private and don’t want to talk about it at work.",8.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,7.0,3.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,1,Yes,Sometimes,Often,nan,7,Maybe,I feel like anything could be seen as a reason not to hire someone or as an excuse to do less work. But then again I also feel like it must be illegal to not hire someone based on physical health issues.,No,They would have to be really showing that they get it for me to do that. Most employers would view that negatively / would be less likely to hire me I think. I don’t want to be seen as someone who is weak or making excuses. This needs to change.,1,0.0,nan,3,Maybe/Not sure,nan,"Yes, I observed",nan,1,"Seriously, we need to give people sick AND mental health paid time off SEPARATE from vacation pto. We should not have to choose between vacation and mental health days. Managers need to be trained to understand mental health. They need to understand that if you feel like shit sitting at your desk and trying to force yourself to work will only make things worse and won’t help the employee OR THE COMPANY","Thanks for doing this work. Mental health issues, whether they’re disorders, situational symptoms, work related or not, needs to be taken seriously and should not be seen as a weakness.",0,24,Female,United States of America,North Carolina,White,nan,United States of America,North Carolina,2020,,,,
65q0ks176r565hzx3av65q0kmqpibe7a,0,More than 1000,1.0,1.0,Yes,No,Yes,Yes,I don't know,I don't know,Physical health,Maybe,0.0,nan,Maybe,1.0,feeling stressed,0.0,nan,7.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"Yes, they all did",N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,I don't know,0.0,nan,At some of my previous employers,nan,nan,0.0,nan,7.0,7.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Yes,5,Yes,impacting work,Yes,impacting work,0,nan,nan,5,No,nan,Maybe/Not sure,nan,5,be open,nan,0,26,female,Indonesia,nan,nan,nan,Indonesia,nan,2020,,,,
5v0xhm9l6imn1cx4gkeqfvd2k5v0xhm9,0,6-25,1.0,1.0,No,nan,No,No,No,Difficult,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,6.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,1.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,Stress Response Syndromes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,8,No,Because any health related issue makes you a less desirable hire,No,Because any health related issue makes you a less desirable hire,0,nan,nan,5,Maybe/Not sure,nan,Maybe/Not sure,nan,2,"Change work culture. Billable hours and timesheets are a false and pointless dataset. Work life balance is a sham. Flexibility is a double edged sword. 8 hour work days are arbitrary inventions with a history steeped in human rights movements to prevent capitalist abuse, not grounded in science or a sense of productivity or purpose. Time management and productivity hacking is all a traffic driving click bait farce. We should be adopting target driven business and staff management/ reporting approaches (which hopefully I'll get to build for one day if I don't kill myself first...). We are humans. We are messy and broken and that's supposed to be what makes life glorious, but instead of just quietly pursuing ""enough"", we're chained to our desks in an effort to protect our families well being in a sycophantic attempt to grab the proverbial dangled carrot from whoever sits above us in the food chain, who yells down  ""ENOUGH is just a little bit more"". Personally, I'd rather be dead, but I've got mouths to feed...",nan,1,31,male,South Africa,nan,nan,nan,South Africa,nan,2020,,,,
5om5ab48n55omv13aoa95om5abycb4qm,0,500-1000,1.0,1.0,No,nan,Yes,No,I don't know,Somewhat difficult,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,7.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"No, none did","Yes, I was aware of all of them",None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,nan,At some of my previous employers,1.0,My previous coworker become one of my best friends so we discussed lots of difficult subjects.,1.0,same what I said before,0.0,0.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Rarely,Rarely,nan,4,No,I i want the job I can't say that I'm sick wether it would be mental or physical illness,No,same as before,0,nan,nan,5,No,nan,No,nan,1,They could provide psychologist sessions available to all employees,nan,0,26,female,Poland,nan,nan,nan,Poland,nan,2020,,,,
5om14nzil156b5om18q0c3i5c9eh4uz6,0,More than 1000,0.0,0.0,I don't know,No,Yes,Yes,Yes,Neither easy nor difficult,Physical health,No,0.0,nan,Yes,0.0,nan,0.0,nan,7.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"No, none did","No, I only became aware later",None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,3.0,3.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Sometimes,Sometimes,No,6,Yes,nan,No,nan,0,nan,nan,10,No,nan,No,nan,5,nan,nan,1,32,Male,India,nan,nan,nan,India,nan,2020,,,,
5gstblkiuvep26x8d1z5gstblun339ma,0,More than 1000,0.0,0.0,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,Obsessive-Compulsive Disorder,nan,nan,nan,nan,nan,nan,Possibly,0,No,Rarely,Often,Yes,6,No,It would be suicidal,No,It would kill my chances,0,nan,nan,0,Maybe/Not sure,nan,Maybe/Not sure,nan,3,Walk the talk,No,0,33,Female,India,nan,nan,nan,India,nan,2020,,,,
5fibs6rw8n5abvn85fijk2l8kutt6535,0,500-1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,1.0,During a presentation; supportive,Yes,1.0,During a meeting; supportive,1.0,"At coffee, in response to a previous conversation - discussed cw's anxiety",8.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,Some of my previous supervisors,0.0,nan,At some of my previous employers,1.0,With a close friend/coworker; supportive,1.0,Coworkers ask me for resources since I'm familiar with several,7.0,2.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,Substance Use Disorder,nan,nan,Yes,1,Yes,Sometimes,Often,No,9,Maybe,"Yes, if that appeared to be accepted as part of the company culture; No otherwise",Maybe,Same reasons as physical health,0,nan,nan,8,"Yes, I observed",Coworkers spoke poorly about the person,"Yes, I observed",nan,2,"Less stigma, more education, more discussion",nan,0,42,F,United States of America,Minnesota,White,nan,United States of America,Minnesota,2020,,,,
57804siooxri3l65z7y57804rwoagiua,0,100-500,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1.0,nan,Maybe,1.0,nan,1.0,nan,7.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,3.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Sometimes,Often,No,6,No,nan,No,nan,0,nan,nan,7,Maybe/Not sure,nan,"Yes, I experienced",nan,2,nan,nan,0,46,Male,United Kingdom,nan,nan,nan,United Kingdom,nan,2020,,,,
52z89gwb0jnm7u52zk4jhtl1l73ktr1y,0,More than 1000,1.0,1.0,Yes,No,Yes,No,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,nan,Maybe,0.0,nan,0.0,nan,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"Yes, they all did","No, I only became aware later",Some did,Some did,Sometimes,Physical health,Some of my previous supervisors,0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,10.0,6.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Stress Response Syndromes,nan,nan,nan,nan,Yes,1,No,Rarely,Rarely,Maybe,1,Maybe,nan,Maybe,nan,0,nan,nan,2,"Yes, I experienced",nan,"Yes, I experienced",nan,3,nan,nan,0,30,m,United States of America,New York,White,nan,United States of America,New York,2020,,,,
52thq7lzqbp6utv3r1b52thqlvwtyqkx,0,More than 1000,1.0,1.0,No,No,Yes,Yes,I don't know,Neither easy nor difficult,Same level of comfort for each,No,0.0,nan,Yes,1.0,We talked about the kind of work we were getting and how stressful wfh is getting.,1.0,nan,8.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,I don't know,Sometimes,Not applicable to me,nan,5,No,That would decrease the chances of my employment. They would map it with my productivity.,No,That would decrease the chances of my employment. They would map it with my productivity.,0,nan,nan,10,Maybe/Not sure,nan,"Yes, I experienced",nan,3,I have loans to pay which makes me work harder. Since my employer pays me very little it makes my life uncomfortable to meet my ends. This shall extend my working hours thus affecting my mental health.,nan,1,24,Male,India,nan,nan,nan,India,nan,2020,,,,
52ppwr7gtllihc5etyai52pp4wgidjcx,0,26-100,0.0,0.0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,Maybe,0.0,nan,No,0.0,nan,0.0,nan,10.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"No, none did",N/A (was not aware),Some did,None did,"Yes, always",Physical health,Some of my previous supervisors,1.0,dont remember,At some of my previous employers,1.0,dont remember,0.0,nan,10.0,6.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,No,Rarely,Often,Maybe,4,Maybe,it depends on the situation,Maybe,it depends,0,nan,nan,2,Maybe/Not sure,nan,"Yes, I experienced",nan,3,interactive sessions,na,0,42,m,India,nan,nan,nan,India,nan,2020,,,,
4w0rnrrbxde2emb54vzx4w0rnugy9abl,0,More than 1000,0.0,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,No,5,Maybe,nan,No,hhh,1,0.0,nan,4,No,nan,No,nan,3,fff,vv,0,28,male,India,nan,nan,nan,India,nan,2020,,,,
4dwggt9rcr7qj2p8aozv4dwg6x3945lp,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,7.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",1.0,"talked about each of our struggles with anxiety and panic attacks, coworker had similar experiences as I did and we just discussed how we dealt with that",1.0,told me about how anxiety and panic attacks had affected his first job and how we learned to cope with anxiety in a professional setting,7.0,2.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,Maybe,3,No,Wouldn't want it to affect my credibility in consideration for the role,No,wouldn't want it to affect my perceived competence in the role,0,nan,nan,2,Maybe/Not sure,nan,No,nan,2,"encourage wellness days, encourage open conversation, encourage team bonding so individuals feel comfortable interacting on a personal level with coworkers, make mental health a priority in healthcare plans, promote work life balance, offer work from home days, flexible work hours",nan,1,27,Female,United States of America,Georgia,White,nan,United States of America,Georgia,2020,,,,
